filename,requirement,label
Safe Social-Distancing SRS Document.pdf,"The application will help the user stay safe by trying to make sure he only passes through places
that are not crowded and by giving him alternative paths or routes to go for when the user tries to
go for a place.",Functional
Safe Social-Distancing SRS Document.pdf,The system will offer to the user alternative paths if the path is crowded.,Functional
Safe Social-Distancing SRS Document.pdf,"The application must be easy to use and have a simple interface in order to be easy for users to
interact with.",Functional
Safe Social-Distancing SRS Document.pdf,The system will offer to the user paths to his chosen destination.,Functional
Safe Social-Distancing SRS Document.pdf,The application,Non-Functional
Safe Social-Distancing SRS Document.pdf,"4 Maintainability
Our application is maintainable so the same team can easily maintain the application and get the
same output, no need for two teams iOS team and Android team to get the required output",Non-Functional
Safe Social-Distancing SRS Document.pdf,"Results: After doing some experiments using the QRFC and NV A, it concluded that both methods
are easily implemented into smartphones and they have the same performance and accuracy, how-
ever, QRFC took much less time than that required for static sampling (SS), also researchers see
that in the future, QRFC will be the most important technique for signal sampling",Non-Functional
Safe Social-Distancing SRS Document.pdf,"Speciﬁc models were tested
and contrasted based on their capabilities using performance metrics such as CDF curve, MAE,
RSME, and Euclidean distance error",Non-Functional
Safe Social-Distancing SRS Document.pdf,"3 Reliability
Our application works on real time database, so it will be secure and there is no chance for failure",Non-Functional
Safe Social-Distancing SRS Document.pdf,"5 Portability
Our application is a ﬂutter application (cross platform application) in which users can install either
on iOS or Android operating systems",Non-Functional
Safe Social-Distancing SRS Document.pdf,"2 Performance and Speed
Performance is not an issue when it comes to our application, it can work perfectly and smoothly
on any smartphone",Non-Functional
Safe Social-Distancing SRS Document.pdf,"Results: As a result for this experiment, researchers found that the performance of the Long-short
term memory network better than Ada boosting, XG boosting , multiplayer perception and Gradi-
ent boosting",Non-Functional
Safe Social-Distancing SRS Document.pdf,"1 Security
Our system is secure and works on preventing user breaches",Non-Functional
Safe Social-Distancing SRS Document.pdf,"OS-ELM makes use of ELM
which can provide great generalization performance at a very fast learning speed",Non-Functional
SRS-1.pdf,"priority 10/10
Code NFR2
name commented code
type maintainance requirement
description the source code must be commented to guarentee a better maintainance
of the software which translate also into upgradability
priority 10/10
Code NFR3
name system security
type security requirement
description Checking for unallowed strings entered in the the login form which
will stop several mysql injection attacks , also the password of the user
will be encrypted in the database",Non-Functional
SRS-1.pdf,"priority 9/10
Code NFR5
name memory size used
type Portability requirement
description the software must occupy the minimum amount of space on the hard disk
priority 10/10
7 Preliminary Object-Oriented Domain Analy-
sis
7",Non-Functional
