filename,requirement,label
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user will be directed to the camera where an appropriate image will be taken then the user will
hear an audio of text present in the image.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user will have the option to start
and stop the audio.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user can
choose what he wants to be recognized as either object, text, or face.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to upload image from mobile gallery.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user will use face recognition to login or sign-up to the system and will be able to use pre-
deﬁned voice commands that control certain features.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user can read text from
images by the photo to speech feature, Egyptian banknotes could be identiﬁed and the amount of
money the user carries.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to hear an identiﬁcation of the food in the captured image.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to hear an the amount of money in the captured image.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The admin can view the information saved about the users, edit the information
or delete a user from the application.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The application shall be easily maintained as the features integrated into it could be upgraded indi-
vidually without the need to interrupt the overall cycle of the application.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The system can also identify
eleven different colors which are red, orange, yellow, green, cyan, blue, purple, pink, black, grey,
and white.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The system must be reliable when performing its operations.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to login using facial recognition.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The application can be used by any number of
users and an admin will have access to the application through the admin side.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The admin can view all the users registered in the system.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The application will redirect to the dashboard the contains the list of users present in the system.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The application should be highly secure with the information entered when the user register in the
application.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to log out.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user will be directed to the
camera where an appropriate image will be taken through the input video stream taken by the
camera.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The admin shall be able to edit users’ information.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The admin shall be able to logout.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The admin shall be able to view users’ information.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The system should be accessed across all platforms.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to capture an image with the help of the system.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to sign up.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The user shall be able to hear the audio menu.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The application shall allow users to use speciﬁc voice commands to access the
application’s functionalities and have all the produced output be converted to audio to be heard by
the user.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user shall be able to hear an identiﬁcation of the color and pattern of an article of cloth
in the captured image.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The application should correctly
detect the objects present in the image and the output from the processing should produce the most
accurate result.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,"The user will be directed to the camera where an appropriate image will be
taken through the input video stream taken by the camera.",Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The admin shall be able to remove users from the system.,Functional
1739070125343_VisuallyImpairedAssistant_srs_doc.pdf,The system may be denied access to camera.,Functional
